Case	f0	q	M_tot	chi1	chi2	theta1	phi1	theta2	phi2	f_peak
27	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.018628723723829	2.356194490192345	329.5455707657134
28	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.018628723723829	3.141592653589793	329.5455707657134
29	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.018628723723829	3.9269908169872414	329.5455707657134
30	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.018628723723829	4.71238898038469	329.5455707657134
31	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.018628723723829	5.497787143782138	329.5455707657134
32	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.018628723723829	6.283185307179586	329.5455707657134
33	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.6179938779914944	0.7853981633974483	322.7104771104432
34	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.6179938779914944	1.5707963267948966	322.7104771104432
35	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.6179938779914944	2.356194490192345	322.7104771104432
36	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.6179938779914944	3.141592653589793	322.7104771104432
37	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.6179938779914944	3.9269908169872414	322.7104771104432
38	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.6179938779914944	4.71238898038469	322.7104771104432
39	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.6179938779914944	5.497787143782138	322.7104771104432
40	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.6179938779914944	6.283185307179586	322.7104771104432
41	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	3.141592653589793	0.7853981633974483	320.18522990120425
42	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	3.141592653589793	1.5707963267948966	320.18522990120425
43	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	3.141592653589793	2.356194490192345	320.18522990120425
44	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	3.141592653589793	3.141592653589793	320.18522990120425
45	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	3.141592653589793	3.9269908169872414	320.18522990120425
46	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	3.141592653589793	4.71238898038469	320.18522990120425
47	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	3.141592653589793	5.497787143782138	320.18522990120425
48	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	3.141592653589793	6.283185307179586	320.18522990120425
49	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	0.5235987755982988	0.7853981633974483	349.39461347914494
50	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	0.5235987755982988	1.5707963267948966	349.39461347914494
51	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	0.5235987755982988	2.356194490192345	349.39461347914494
52	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	0.5235987755982988	3.141592653589793	349.39461347914494
53	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	0.5235987755982988	3.9269908169872414	349.39461347914494
54	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	0.5235987755982988	4.71238898038469	349.39461347914494
55	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	0.5235987755982988	5.497787143782138	349.39461347914494
56	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	0.5235987755982988	6.283185307179586	349.39461347914494
57	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.1229639298659642	0.7853981633974483	334.16139902817554
58	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.1229639298659642	1.5707963267948966	334.16139902817554
59	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.1229639298659642	2.356194490192345	334.16139902817554
60	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.1229639298659642	3.141592653589793	334.16139902817554
61	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.1229639298659642	3.9269908169872414	334.16139902817554
62	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.1229639298659642	4.71238898038469	334.16139902817554
63	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.1229639298659642	5.497787143782138	334.16139902817554
64	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.1229639298659642	6.283185307179586	334.16139902817554
65	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.5707963267948966	0.7853981633974483	323.2016782500338
66	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.5707963267948966	1.5707963267948966	323.2016782500338
67	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.5707963267948966	2.356194490192345	323.2016782500338
68	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.5707963267948966	3.141592653589793	323.2016782500338
69	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.5707963267948966	3.9269908169872414	323.2016782500338
70	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.5707963267948966	4.71238898038469	323.2016782500338
