Case_No	SXS_number	f_peak
131.0	1018.0	74.95061119517749
132.0	1019.0	77.49903759722304
133.0	1020.0	86.51487633768919
134.0	1022.0	69.88883273663879
135.0	1023.0	78.16663916287946
136.0	1027.0	84.15388752248536
137.0	1028.0	84.21400463653065
138.0	1029.0	74.84063473027791
139.0	1030.0	82.391588618953
140.0	1031.0	85.25125827296046
141.0	1033.0	72.69096232728158
142.0	1035.0	72.30469070308288
143.0	1036.0	86.27473851387549
144.0	1039.0	82.27583202831688
145.0	1041.0	77.42119313965898
146.0	1042.0	71.2186901617749
147.0	1045.0	74.59402210253845
148.0	1048.0	74.37121614369254
149.0	1049.0	72.70993377263774
150.0	1051.0	78.18132423342021
151.0	1053.0	75.79508566638432
152.0	1056.0	79.57707898138096
153.0	1057.0	73.93799018972214
154.0	1059.0	82.23918811918927
155.0	1065.0	77.14685450483404
156.0	1066.0	79.01452454295706
157.0	1067.0	78.99769024248491
158.0	1070.0	79.78573775990468
159.0	1071.0	87.83772565352695
160.0	1076.0	80.62237170821987
161.0	1077.0	73.38643493552568
162.0	1078.0	81.25633742508236
163.0	1079.0	74.71783758123826
164.0	1085.0	78.17100291623059
165.0	1086.0	85.05902309539694
166.0	1087.0	83.85657469468858
167.0	1129.0	77.47639091467522
168.0	1133.0	74.76017027432844
169.0	1188.0	77.42360443604105
170.0	1189.0	77.41536614215687
171.0	1193.0	75.39869202200077
172.0	1194.0	74.8109490266379
173.0	1195.0	77.39462251598987
174.0	1197.0	74.74486398900393
175.0	1200.0	74.88628465355602
176.0	1204.0	74.71477797287548
177.0	1205.0	77.43392252367622
178.0	1207.0	75.10044651445645
179.0	1215.0	74.77634267151421
180.0	1217.0	77.65686272104867
181.0	1224.0	76.73184876460526
187.0	1515.0	68.17836356383975
188.0	1518.0	75.88547765862572
189.0	1704.0	73.21012555637805
190.0	1762.0	68.64654833648609
191.0	1782.0	64.34857154590286
192.0	1800.0	82.95915607312482
193.0	1833.0	68.55863253950417
194.0	1846.0	86.3643489465281
195.0	1868.0	78.13163309698507
196.0	1874.0	80.6424438355963
197.0	1888.0	69.19712674541695
198.0	1890.0	76.22841602319792
199.0	1915.0	71.7273016630012
200.0	1916.0	69.76848187191426
201.0	1917.0	70.06409247034631
202.0	1918.0	69.0523737122771
203.0	1920.0	70.92401663698607
204.0	1921.0	70.22036493009
205.0	1922.0	70.10834812063622
206.0	1923.0	71.03611169661028
207.0	1924.0	69.30003857397685
208.0	1926.0	71.61780478577059
209.0	1927.0	70.14982192069924
210.0	1928.0	69.9230704629104
211.0	1929.0	70.21766591491658
212.0	1930.0	68.495905231982
213.0	1945.0	69.94680136276499
214.0	1946.0	69.7438418683598
215.0	1947.0	69.72243574200596
216.0	1948.0	68.78918861165222
217.0	1951.0	69.93618121879607
218.0	1952.0	69.8432526927326
219.0	1953.0	69.8581480050708
220.0	1954.0	68.74309600736848
221.0	1956.0	71.08587733706165
222.0	1957.0	69.71700795646176
223.0	1958.0	69.81461649849959
224.0	1959.0	69.89184775459775
225.0	1968.0	83.64748673256464
226.0	1969.0	80.27826142499997
227.0	1971.0	83.38823599803007
228.0	1972.0	81.95228830565043
229.0	1973.0	80.05546304980588
230.0	1975.0	84.04798208330311
231.0	1976.0	82.0933064785532
232.0	1977.0	81.91272518223151
233.0	1978.0	81.8927394366266
234.0	1979.0	80.88935094135377
235.0	1981.0	62.609802386483906
236.0	1982.0	62.870748182908976
237.0	1983.0	63.08659684028907
238.0	1984.0	61.84265969203113
239.0	1986.0	63.51948085539431
240.0	1987.0	62.64574593252747
241.0	1988.0	62.73989295540833
242.0	1989.0	61.87136440119163
243.0	1991.0	63.36307560957685
244.0	1992.0	62.79215470109097
245.0	1993.0	62.665970128366524
246.0	1994.0	62.770302703753025
247.0	1995.0	62.121355099792396
248.0	1997.0	71.62858990667418
249.0	1998.0	70.48799311757293
250.0	1999.0	70.40607910760691
251.0	2000.0	69.63493185319638
252.0	2001.0	68.4952024296029
253.0	2003.0	71.71483635584181
254.0	2004.0	69.82032930318361
255.0	2005.0	69.77186806570549
256.0	2006.0	69.94419008043023
257.0	2007.0	68.99372744274694
258.0	2009.0	70.92301588776297
259.0	2010.0	70.1671009752832
260.0	2011.0	70.43036465943563
261.0	2012.0	69.41400737734607
262.0	2015.0	70.50222693494644
263.0	2016.0	71.02870295680763
264.0	2017.0	70.41030640591802
265.0	2021.0	69.71692245121636
266.0	2022.0	70.16399033841854
267.0	2023.0	70.22373681913355
268.0	2027.0	70.35117142471711
269.0	2028.0	69.89648270370036
270.0	2032.0	70.1394247220052
271.0	2033.0	69.79512583829697
272.0	2034.0	70.42505741702156
273.0	2037.0	69.19319528037835
274.0	2038.0	69.93927858633592
275.0	2039.0	69.54397111663899
276.0	2043.0	71.22207632629178
277.0	2044.0	71.49365666281392
278.0	2045.0	70.19523788798692
279.0	2048.0	71.15005760231873
280.0	2049.0	70.67511282173368
281.0	2052.0	70.93080789404075
282.0	2053.0	71.38100404026987
283.0	2054.0	71.67904139086976
284.0	2057.0	69.5716241854787
285.0	2058.0	69.32295859000826
286.0	2061.0	70.08767923531127
287.0	2064.0	68.89894430524994
288.0	2065.0	69.61596833337205
289.0	2066.0	69.38394439921001
290.0	2069.0	69.91560456929875
291.0	2070.0	69.93975774296777
292.0	2073.0	70.48846887797177
293.0	2074.0	71.00756687427787
294.0	2075.0	69.76080900463506
295.0	2079.0	69.96152777458946
296.0	2080.0	70.26175439617833
297.0	2081.0	70.05139986425935
